RUT_CLIENTE;RAZON_SOCIAL;TELEFONO;DIRECCION;COMUNA;CIUDAD;EMAIL;INFO;MONTO_CREDITO;CLASIFICACION;ZONA;ID_TIPO_CLIENTE;CONDICION_DE_VENTA;GIRO;ID_ACTIVIDAD_COMERCIAL;RUT_CLIENTE_PADRE
76320186-4;TECNO FAST S.A.;2227905000;AV. LA MONTA¥A 692 KM 16 1/2 CONJUNTO VALLE GRANDE PANAMERICANA NORTE;LAMPA;SANTIAGO;TECNOFAST@TECNOFAST.CL;CONSTRUCCION DE CAMPAMENTOS MINEROS Y ARRIENDOS;1;CONSTRUCCION DE CAMPAMENTOS MINEROS Y ARRIENDOS;METROPOLITANA;2;1;CONSTRUCCION DE CAMPAMENTOS MINEROS Y ARRIENDOS;5;
78608020-7;ANDE LTDA.;722216611;SEBASTIAN ELCANO 200;RANCAGUA;RANCAGUA;JAALDO@VTR.NET;CONSTRUCCION;1;CONSTRUCCION;REGION DEL LIBERTADOR GNRAL BERNARDO O'HIGGINS;2;1;CONSTRUCCION;5;
86089600-1;ARDAC LTDA.;322384800;ECUADOR 251 PISO 4 OF 42;VI¥A DEL MAR;VI¥A DEL MAR;;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;VALPARAISO;2;1;EMPRESA CONSTRUCTORA;5;
78873870-6;ATELIER ARQUITECTURA CONSTRUCCION;2222010801;AV. CRISTOBAL COLON 6432;LAS CONDES;SANTIAGO;PUCARA@INMOBILIARIAPUCARA.CL;ARQUITECTURA Y CONSTRUCCION;1;ARQUITECTURA Y CONSTRUCCION;METROPOLITANA;2;1;ARQUITECTURA Y CONSTRUCCION;5;
76782470-K;AZVI CHILE S.A.;2227290300;AV. APOQUINDO 4001 PISO 5 OF 501;LAS CONDES;SANTIAGO;;CONSTRUCTORA;1;CONSTRUCTORA;METROPOLITANA;2;1;CONSTRUCTORA;5;
79884150-5;BBO INGENIERIA LTDA.;2226346752;ARZOBISPO LARRAIN GANDARILLAS 139;PROVIDENCIA;SANTIAGO;GERENCIA@BBO.CL;INGENIERIA Y MONTAJES;1;INGENIERIA Y MONTAJES;METROPOLITANA;2;1;INGENIERIA Y MONTAJES;5;
96727830-0;BESALCO CONSTRUCCIONES;2225205600;AV. TAJAMAR 183 PISO 5;LAS CONDES;SANTIAGO;CONSTRUCCIONES@BESALCO.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
79732940-1;BEZANILLA CONSTRUCCIONES LTDA.;322976000;AV.LIBERTAD 1405 PISO 18 OF. 1801;VI¥A DEL MAR;VI¥A DEL MAR;INFO@BEZANILLA.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;VALPARAISO;2;1;EMPRESA CONSTRUCTORA;5;
84060600-7;BITUMIX S.A.;2226803000;OBISPO ARTURO ESPINOZA CAMPOS 3172;MACUL;SANTIAGO;BITUMIX@BITUMIX.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
86390000-K;BOETSCH CONSTRUCCIONES Y CIA. LTDA.;2223322200;POLONIA 360;LAS CONDES;SANTIAGO;ICT@ICTSA.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
86217800-6;BOETSCH S.A.;2225807000;COYANCURA 2283 OF. 1501;PROVIDENCIA;SANTIAGO;BOETSCH@BOETSCH.CL;CONSTRUCTORA;1;CONSTRUCTORA;METROPOLITANA;2;1;CONSTRUCTORA;5;
93706000-9;BROTEC S.A.;2223948000;COYANCURA 2283 PISO 14;PROVIDENCIA;SANTIAGO;BROTEC@BROTEC.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
76113788-3;CASAS DELANO S.A.;2222159404;AV. LAS CONDES 13200;LO BARNECHEA;SANTIAGO;VENTAS@CASASDELANO.CL;CASAS PREFABRICADAS ;1;CASAS PREFABRICADAS ;METROPOLITANA;2;1;CASAS PREFABRICADAS ;5;
99564400-2;CASAS INDUSTRIALIZADAS DEL SUR S.A.;412620777;LOS CARRERA 1506;CONCEPCION;CONCEPCION;VENTAS@CASUR.CL;CONSTRUCTORA;1;CONSTRUCTORA;BIO - BIO;2;1;CONSTRUCTORA;5;
78478240-9;CIMAP LTDA.;552360425;AV. MATTA 1725;CALAMA;CALAMA;CIMAP@CIMAP.CL;INGENIERIA Y CONSTRUCCION;1;INGENIERIA Y CONSTRUCCION;ANTOFAGASTA;2;1;INGENIERIA Y CONSTRUCCION;5;
88117800-1;COMPA¥ÖA MINERA SANTA LAURA LTDA.;2225384309;CAMINO LO SIERRA 04316;SAN BERNARDO;SANTIAGO;SLAURA@SANTALAURA.CL;ELABORACION Y EXTRACCION DE ARIDOS, CONSTRUCCION OBRAS VIALES, TRANSPORTE Y EQUIPO PESADO;1;ELABORACION Y EXTRACCION DE ARIDOS, CONSTRUCCION OBRAS VIALES, TRANSPORTE Y EQUIPO PESADO;METROPOLITANA;2;1;ELABORACION Y EXTRACCION DE ARIDOS, CONSTRUCCION OBRAS VIALES, TRANSPORTE Y EQUIPO PESADO;5;
76097222-3;CONEQUIP SPA.;712220379;4 NORTE 1425;TALCA;TALCA;LVINAMBRES@CONEQUIP.CL;CONSTRUCCION DE OBRAS PUBLICAS EN GENERAL;1;CONSTRUCCION DE OBRAS PUBLICAS EN GENERAL;MAULE;2;1;CONSTRUCCION DE OBRAS PUBLICAS EN GENERAL;5;
93081000-2;CONSTRUCCIONES BRONFMAN S.A.;2222366717;LA CONCEPCION 81 OF. 1605;PROVIDENCIA;SANTIAGO;BRONFMAN@NETLINE.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
81112700-0;CONSTRUCCIONES EMEBE Y CIA LTDA.;2222310101;AV. NUEVA PROVIDENCIA 1860 PISO 6 OF. 61;PROVIDENCIA;SANTIAGO;GRUPOESPANA@GRUPOESPANA.CL;CONSTRUCCION DE VIVIENDAS;1;CONSTRUCCION DE VIVIENDAS;METROPOLITANA;2;1;CONSTRUCCION DE VIVIENDAS;5;
96671230-9;CONSTRUCCIONES ESPECIALIZADAS LTDA.;2226523300;BUSTOS 2057;PROVIDENCIA;SANTIAGO;REPES@RFA.CL;TECNICAS DE REPARACIONES ESTRUCTURALES Y REHABILITACION DE ESTRUCTURAS;1;TECNICAS DE REPARACIONES ESTRUCTURALES Y REHABILITACION DE ESTRUCTURAS;METROPOLITANA;2;1;TECNICAS DE REPARACIONES ESTRUCTURALES Y REHABILITACION DE ESTRUCTURAS;5;
89015400-K;CONSTRUCCIONES NORDICAS LTDA.;2222288402;AV. AMERICO VESPUCIO NORTE 2446;VITACURA;SANTIAGO;CONTACTO@CASASNORDICAS.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
76313150-5;CONTRUCCIONES TECNOLOGICAS S.A.;2222450555;COIMBRA 135;LAS CONDES;SANTIAGO;INFO@CONSTRUTEC.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
96717980-9;CONSTRUCCIONES Y MONTAJES COM S.A.;2228374800;EL TOTORAL 650;QUILICURA;SANTIAGO;;CONSTRUCCION DE OBRAS INDUSTRIALES Y CIVILES;1;CONSTRUCCION DE OBRAS INDUSTRIALES Y CIVILES;METROPOLITANA;2;1;CONSTRUCCION DE OBRAS INDUSTRIALES Y CIVILES;5;
79578400-4;CONSTRUCTORA ARMAS LTDA.;2226314000;AV. MANQUEHUE SUR 1220;LAS CONDES;SANTIAGO;ASANCHEZ@EMPRESASARMAS.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
79853280-4;CONSTRUCTORA BESALCO LTDA.;2223380880;EBRO 2705;LAS CONDES;SANTIAGO;VIVIENDAS@BESALCO.CL;CONSTRUCTORA DE VIVIENDAS;1;CONSTRUCTORA DE VIVIENDAS;METROPOLITANA;2;1;CONSTRUCTORA DE VIVIENDAS;5;
87867400-6;CONSTRUCTORA BRICE¥O Y CIA LTDA;2222723771;AV. MACUL 2340;MACUL;SANTIAGO;CONSTRUCTORA@BRICENO.CL;CONSTRUCCION Y EDIFICACION;1;CONSTRUCCION Y EDIFICACION;METROPOLITANA;2;1;CONSTRUCCION Y EDIFICACION;5;
93343000-6;CONSTRUCTORA BIO BIOS.A;2223344644;EL CANELO 2715;PROVIDENCIA;SANTIAGO;;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
81202100-1;CONSTRUCTORA CADEL LTDA.;2229642990;AV. NUEVA TAJAMAR 555 PISO 15 OF 1502;LAS CONDES;SANTIAGO;CONSTRUCTORA@CADEL.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
78868250-6;CONSTRUCTORA CARLOS RENE GARCIA GROSS LTDA.;452201800;SAN MARTIN 0887;TEMUCO;TEMUCO;CGARCIA@CCGG.CL;CONSTRUCCION DE CAMINOS, PUENTES, OBRAS PUBLICAS Y SANITARIAS;1;CONSTRUCCION DE CAMINOS, PUENTES, OBRAS PUBLICAS Y SANITARIAS;ARAUCANIA;2;1;CONSTRUCCION DE CAMINOS, PUENTES, OBRAS PUBLICAS Y SANITARIAS;5;
89113900-4;CONSTRUCTORA CONCRETA S.A.;2222419222;AV. NUEVA COSTANERA 4229 OF. 305;VITACURA;SANTIAGO;CONCRETA@CONCRETA.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
79637370-9;CONSTRUCTORA CONPAX S.A.;2223946000;AV. SANTA CLARA 300, CIUDAD EMPRESARIAL;HUECHURABA;SANTIAGO;SEC.GERENCIA@CONPAX.CL;CONSTRUCCION DE OBRAS CIVILES , CONSTRUCCION DE OBRAS DE MONTAJE, CONSTRUCCION DE OBRAS SUBTERRANEAS;1;CONSTRUCCION DE OBRAS CIVILES , CONSTRUCCION DE OBRAS DE MONTAJE, CONSTRUCCION DE OBRAS SUBTERRANEAS;METROPOLITANA;2;1;CONSTRUCCION DE OBRAS CIVILES , CONSTRUCCION DE OBRAS DE MONTAJE, CONSTRUCCION DE OBRAS SUBTERRANEAS;5;
88723500-7;CONSTRUCTORA COSTA BRAVA LTDA.;712242029;AV. SAN MIGUEL 3425;TALCA;TALCA;COSTABRAVALTDA@GMAIL.COM;CONSTRUCCION;1;CONSTRUCCION;MAULE;2;1;CONSTRUCCION;5;
78034720-1;CONSTRUCTORA DIMAR LTDA.;2222456117;CERRO EL PLOMO 5855 OF. 1207;LAS CONDES;SANTIAGO;DIMAR@CONSTRUCTORADIMAR.CL;CONSTRUCTORA;1;CONSTRUCTORA;METROPOLITANA;2;1;CONSTRUCTORA;5;
83719300-1;CONSTRUCTORA ECOMAC S.A.;512671800;MANUEL ANTONIO MATTA 221;LA SERENA;LA SERENA;CONSTRUCTORA@ECOMAC.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;COQUIMBO;2;1;EMPRESA CONSTRUCTORA;5;
78134800-7;CONSTRUCTORA GREVIA LTDA.;2222363280;GENERAL DEL CANTO 467;PROVIDENCIA;SANTIAGO;SECRETARIA@GREVIA.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
96513310-0;CONSTRUCTORA INARCO S.A.;2222408400;AV. DEL CONDOR 600 PISO 5;HUECHURABA;SANTIAGO;INARCO@INARCO.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
84394000-5;CONSTRUCTORA INCA LTDA.;2229644660;AV.LAS CONDES 11400 OF 82-B;VITACURA;SANTIAGO;;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
87911700-3;CONSTRUCTORA INDUSTRIAL ECOCIR LTDA.;552227530;IQUIQUE 4465;ANTOFAGASTA;ANTOFAGASTA;ECOCIR@ECOCIR.CL;CONSTRUCTORA INDUSTRIAL;1;CONSTRUCTORA INDUSTRIAL;ANTOFAGASTA;2;1;CONSTRUCTORA INDUSTRIAL;5;
76606320-9;CONSTRUCTORA INGETASCO LTDA.;2222325871;DON CARLOS 3939 OF. 1101;LAS CONDES;SANTIAGO;CONSTRUCTORA@INGETASCO.CL;CONSTRUCCION E INGERNIERIA;1;CONSTRUCCION E INGERNIERIA;METROPOLITANA;2;1;CONSTRUCCION E INGERNIERIA;5;
89853600-9;CONSTRUCTORA INGEVEC S.A.;2226743810;CERRO EL PLOMO 5680 PISO 14;LAS CONDES;SANTIAGO;INGEVEC@INGEVEC.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
80213800-6;CONSTRUCTORA INTERNACIONAL S.A.;2224726000;TEATINOS 333 PISO 11;SANTIAGO;SANTIAGO;CINTERNACIONAL@CIL.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
76040471-3;CONSTRUCTORA METROPOLITANA S.A.;2226336251;AGUSTINAS 814 PISO 2 OF 4;SANTIAGO;SANTIAGO;INFO@METROPOLITANA.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
96687660-3;CONSTRUCTORA MOLCO S.A.;452337758;LOS JAZMINES 0165;TEMUCO;TEMUCO;TESORERIA@MOLCOSA.CL;CONSTRUCTORA;1;CONSTRUCTORA;ARAUCANIA;2;1;CONSTRUCTORA;5;
79767940-2;CONSTRUCTORA ODEBRECHT CHILE S.A.;2224202419;AV. LIB. BERNARDO O'HIGGINS 292 OF 21;SANTIAGO;SANTIAGO;OEC-CHILE@ODEBRECHT.CL;INGENIERIA Y CONSTRUCCION;1;INGENIERIA Y CONSTRUCCION;METROPOLITANA;2;1;INGENIERIA Y CONSTRUCCION;5;
78405920-0;CONSTRUCTORA ORION LTDA.;2225235059;BLAS VIAL 8727;LA CISTERNA;SANTIAGO;CONSTRUCTORA@ORIONLTDA.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
84439900-6;CONSTRUCTORA PACAL S.A.;2224302000;SAN PIO X N. 2460 OF 404;PROVIDENCIA;SANTIAGO;PACAL@PACAL.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
94944000-1;CONSTRUCTORA PILEN LTDA.;582223520;PARCELA 14, CAMPO VERDE;ARICA;ARICA;PILENSA@GMAIL.COM;CONSTRUCTORA;1;CONSTRUCTORA;ARICA;2;1;CONSTRUCTORA;5;
79840820-8;CONSTRUCTORA POCURO LTDA.;2224849700;NUEVA DE LYON 0145 OF 102;PROVIDENCIA;SANTIAGO;CSIRONVALLE@POCURO.CL;CONSTRUCCION DE VIVIENDAS;1;CONSTRUCCION DE VIVIENDAS;METROPOLITANA;2;1;CONSTRUCCION DE VIVIENDAS;5;
77642820-5;CONSTRUCTORA PROPUERTO LTDA.;2224760450;AV. PRESIDENTE RIESCO 5335 PISO 10;LAS CONDES;SANTIAGO;PROPUERTO@PROPUERTO.CL;CONSTRUCTORA;1;CONSTRUCTORA;METROPOLITANA;2;1;CONSTRUCTORA;5;
79784200-1;CONSTRUCTORA RUCALHUE LTDA.;752313545;VILLOTA 529;CURICO;CURICO;RUCALHUE@CONSTRUCTORARUCALHUE.CL;CONSTRUCCION;1;CONSTRUCCION;MAULE;2;1;CONSTRUCCION;5;
83145600-0;CONSTRUCTORA VALKO S.A.;2226248566;AV. AMERICO VESPUCIO NORTE 2880 OF 1004;CONCHALI;SANTIAGO;CVALKO@VALKO.CL;OBRAS DE INGENIERIA;1;OBRAS DE INGENIERIA;METROPOLITANA;2;1;OBRAS DE INGENIERIA;5;
78568830-9;CONSTRUCTORA WORNER S.A.;452232227;MANUEL MONTT 669 OF 501;TEMUCO;TEMUCO;CONSTRUCTORA@WORNER.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;ARAUCANIA;2;1;EMPRESA CONSTRUCTORA;5;
89651600-0;CONSTRUCTORA E INMOBILIARIA MAGAL LTDA.;2227704300;EL CANELO2715;PROVIDENCIA;SANTIAGO;MALARCON@MAGAL.CL;CONSTRUCCION DE EDIFICIOS;1;CONSTRUCCION DE EDIFICIOS;METROPOLITANA;2;1;CONSTRUCCION DE EDIFICIOS;5;
86003000-4;CONSTRUCTORA Y COMERCIAL EL ALBA LTDA.;2222734083;VALENZUELA PUELMA 9300;LAS CONDES;SANTIAGO;CEA@CEALIMITADA.COM;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
76299890-4;E. MOLINA MOREL CONSTRUCTORA S.A.;2223556700;AV. PRESIDENTE ERRAZURIZ 3044;LAS CONDES;SANTIAGO;CEMM@EMM.CL;EMPRESA CONSTRUCTORA E INMOBILIARIA;1;EMPRESA CONSTRUCTORA E INMOBILIARIA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA E INMOBILIARIA;5;
79517230-5;EMIN, INGENIERIA Y CONSTRUCCION S.A;2222998000;FELIX DE AMESTI 90;LAS CONDES;SANTIAGO;INFO@EMIN.CL;INGENIERIA Y CONSTRUCCION;1;INGENIERIA Y CONSTRUCCION;METROPOLITANA;2;1;INGENIERIA Y CONSTRUCCION;5;
84102200-9;EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO LTDA.;2223393300;AV. PEDRO DE VALDIVIA 0193  PISO 7;PROVIDENCIA;SANTIAGO;BRAVOIZQUIERDO@BRAVOIZQUIERDO.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
85747000-1;ECHEVERRIA IZQUIERDO INGENIERIA Y CONSTRUCCION S.A.;2226314600;ROSARIO NORTE 532 PISO 8;LAS CONDES;SANTIAGO;EI@EI.CL;CONSTRUCTORA;1;CONSTRUCTORA;METROPOLITANA;2;1;CONSTRUCTORA;5;
81163600-2;ECOMET S.A.;2226207100;CAMINO SANTA TERESA S/N PANAMERICANA NORTE ALT. 19600;LAMPA;SANTIAGO;INFO@ECOMET.CL;FABRICACION DE ESTRUCTURAS METALICAS Y SOLUCIONES MODULARES ;1;FABRICACION DE ESTRUCTURAS METALICAS Y SOLUCIONES MODULARES ;METROPOLITANA;2;1;FABRICACION DE ESTRUCTURAS METALICAS Y SOLUCIONES MODULARES ;5;
96571010-8;ECOMIN S.A. EMPRESA CONSTRUCTORA;2227414150;AV. GLADYS MARIN 6470;ESTACION CENTRAL;SANTIAGO;ECOMIN@ECOMIN.CL;MONTAJES INDUSTRIALES, CONSTRUCCION - FABRICACION DE MONTAJES Y ESTRUCTURAS METALICAS;1;MONTAJES INDUSTRIALES, CONSTRUCCION - FABRICACION DE MONTAJES Y ESTRUCTURAS METALICAS;METROPOLITANA;2;1;MONTAJES INDUSTRIALES, CONSTRUCCION - FABRICACION DE MONTAJES Y ESTRUCTURAS METALICAS;5;
96545120-K;EICO S.A;2224134400;AV. MANUEL MONTT 1839;PROVIDENCIA;SANTIAGO;JLEIVA@EICOSA.CL;REPRESENTACIONES DE CILINDROS, KITS Y SELLOS HIDRAULICOS, SISTEMAS DE REGENERACION Y FILTRADO;1;REPRESENTACIONES DE CILINDROS, KITS Y SELLOS HIDRAULICOS, SISTEMAS DE REGENERACION Y FILTRADO;METROPOLITANA;2;1;REPRESENTACIONES DE CILINDROS, KITS Y SELLOS HIDRAULICOS, SISTEMAS DE REGENERACION Y FILTRADO;5;
78206080-5;EMPRESA CONSTRUCTORA AGUA SANTA S.A.;2226529500;SAN PABLO 9900;PUDAHUEL;SANTIAGO;ASANTA@ASANTA.CL;MOVIMIENTO DE TIERRA;1;MOVIMIENTO DE TIERRA;METROPOLITANA;2;1;MOVIMIENTO DE TIERRA;5;
92562000-9;EMPRESA CONSTRUCTORA BELFI S.A;2225604800;PUERTA DEL SOL 55 PISO 3;LAS CONDES;SANTIAGO;CONSTRUCTORA@BELFI.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
79837120-7;EMPRESA CONSTRUCTORA BELLOLIO LTDA.;412910090;CAMILO HENRIQUEZ 350;CONCEPCION;CONCEPCION;ECOBELL@ECOBELL.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;BIO - BIO;2;1;EMPRESA CONSTRUCTORA;5;
80228500-0;EMPRESA CONSTRUCTORA COMERCIO LTDA.;2232039274;MIGUEL CLARO 1618;PROVIDENCIA;SANTIAGO;VESPINOSA@CONSTRUCTORACOMERCIO.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
81266000-4;EMPRESA CONSTRUCTORA D.L.W. S.A.;2232238228;NAPOLEON 3037 OF 74;LAS CONDES;SANTIAGO;CONTACTO@WGI.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
84507600-6;EMPRESA CONSTRUCTORA ECHEVERRIA Y JEFFS LTDA.;2222022081;AV. LUIS PASTEUR 5626 DEPTO 104;VITACURA;SANTIAGO;CONSTRUCTORABEJ@VTR.NET;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
83109000-6;EMPRESA CONSTRUCTORA FE GRANDE S.A.;2229020000;AV. PRESIDENTE RIESCO 5335 PISO 11;LAS CONDES;SANTIAGO;FEGRANDE@FEGRANDE.CL;CONSTRUCCION DE OBRAS DE INFRAESTRUCTURA Y MOVIMIENTO DE TIERRA;1;CONSTRUCCION DE OBRAS DE INFRAESTRUCTURA Y MOVIMIENTO DE TIERRA;METROPOLITANA;2;1;CONSTRUCCION DE OBRAS DE INFRAESTRUCTURA Y MOVIMIENTO DE TIERRA;5;
88201900-4;EMPRESA CONSTRUCTURA GUZMAN Y LARRAIN LTDA.;2227571800;MARCHANT PEREIRA 201 PISOS 3 Y 4;PROVIDENCIA;SANTIAGO;;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
96691680-K;EMPRESA CONSTRUCTORA MEN AY OVALLE S.A.;2229404000;AV. APOQUINDO 3500 PISO 3;LAS CONDES;SANTIAGO;SECRETARIAGERENCIA@MENAYOVALLE.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
92770000-K;EMPRESA CONSTRUCTORA MOLLER Y PEREZ-COTAPOS S.A.;2224122200;AV. LOS LEONES 957;PROVIDENCIA;SANTIAGO;MPCCENTRAL@MOLLER.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
79617670-9;EMPRESA CONSTRUCTORA ORMUZ LTDA.;2222321112;PASEO PEATONAL PRESIDENTE ERRAZURIZ ECHAURREN 2631 PISO 2 OF 23;PROVIDENCIA;SANTIAGO;CONTACTO@ORMUZ.CL;EMPRESA CONSTRUCTORA;1;EMPRESA CONSTRUCTORA;METROPOLITANA;2;1;EMPRESA CONSTRUCTORA;5;
93740000-4;EMPRESA CONSTRUCTORA PRECON S.A.;2223391900;AV. RICARDO LYON 1531;PROVIDENCIA;SANTIAGO;PRECON@PRECON.CL;CONSTRUCCION;1;CONSTRUCCION;METROPOLITANA;2;1;CONSTRUCCION;5;
89037500-6;EMPRESA CONSTRUCTORA SIGRO S.A.;2227076700;AV. ISIDORA GOYENECHEA 3477 PISOS 3 Y 4 ;LAS CONDES;SANTIAGO;;EDIFICACION Y CONSTRUCCION;1;EDIFICACION Y CONSTRUCCION;METROPOLITANA;2;1;EDIFICACION Y CONSTRUCCION;5;
84299100-5;EMPRESA CONSTRUCTORA DEL PACIFICO LTDA.;2226351008;AV. LIB. BERNARDO O'HIGGINS 232 PISO 15 OF 153;SANTIAGO;SANTIAGO;ECPAC@ADLS.TIE.CL;CONSTRUCTORA;1;CONSTRUCTORA;METROPOLITANA;2;1;CONSTRUCTORA;5;
96502100-0;EMPRESA NACIONAL DE LA CONSTRUCCION ENACO S.A.;2222073800;ASTURIAS 280 OF 301;LAS CONDES;SANTIAGO;;CONSTRUCTORA E INMOBILIARIA;1;CONSTRUCTORA E INMOBILIARIA;METROPOLITANA;2;1;CONSTRUCTORA E INMOBILIARIA;5;
76499254-7;FERROMALLAS LTDA.;2228111074;2DA AVENIDA 274;PADRE HURTADO;SANTIAGO;AZMALLAS@YAHOO.CL;FABRICACION DE MALLAS PARA HARNEROS VIBRATORIOS;1;FABRICACION DE MALLAS PARA HARNEROS VIBRATORIOS;METROPOLITANA;2;1;FABRICACION DE MALLAS PARA HARNEROS VIBRATORIOS;5;
87710900-3;GONZALO SANTOLAYA INGENIEROS CONSULTORES S.A;2223478100;PADRE MARIANO 181 PISO 8;PROVIDENCIA;SANTIAGO;IFULLE@SANTOLAYAING.CL;INGENIERIA ESTRUCTURAL Y CONSTRUCCION;1;INGENIERIA ESTRUCTURAL Y CONSTRUCCION;METROPOLITANA;2;1;INGENIERIA ESTRUCTURAL Y CONSTRUCCION;5;
80466200-6;HOCHTIEF CONSTRUCCION CHILENA LTDA.;2225819150;AV. CERRO EL PLOMO 5420 PISO 8 OF 803;LAS CONDES;SANTIAGO;KURBINA@HOCHTIEF.CL;CONSTRUCCION DE OBRAS CIVILES;1;CONSTRUCCION DE OBRAS CIVILES;METROPOLITANA;2;1;CONSTRUCCION DE OBRAS CIVILES;5;
88481800-1;ICAFAL INGENIERIA Y CONSTRUCCION S.A.;2223519200;AUGUSTO LEGUIA SUR 160 PISO 5;LAS CONDES;SANTIAGO;ICAFAL@ICAFAL.CL;INGENIERIA Y CONSTRUCCION;1;INGENIERIA Y CONSTRUCCION;METROPOLITANA;2;1;INGENIERIA Y CONSTRUCCION;5;
96591880-9;IECSA CHILE S.A.;2222091716;NAPOLEON 3010 PISO 5;LAS CONDES;SANTIAGO;CRAMALLO@IECSA.CL;INGENIERIA Y CONSTRUCCION;1;INGENIERIA Y CONSTRUCCION;METROPOLITANA;2;1;INGENIERIA Y CONSTRUCCION;5;
78114830-K;INDUSTRIAS LONGISUR LTDA.;2222518222;AV. PROVIDENCIA 1071;PROVIDENCIA;SANTIAGO;LONGISUR@GMAIL.COM;CONSTRUCTORA;1;CONSTRUCTORA;METROPOLITANA;2;1;CONSTRUCTORA;5;
89960400-8;INDUSTRIAS MAGISUR LTDA.;452333800;GUIDO BECK DE RAMBERGA 854;PADRE LAS CASAS;TEMUCO;SECRETARIACONSTRUCTORA@MAGISUR.CL;INDUSTRIA MADERA Y CONSTRUCCION;1;INDUSTRIA MADERA Y CONSTRUCCION;ARAUCANIA;2;1;INDUSTRIA MADERA Y CONSTRUCCION;5;
79730880-3;INGENIERIA Y CONSTRUCCIONES INCOLUR S.A.;2224373200;NAPOLEON 3010 PISO 6;LAS CONDES;SANTIAGO;GERENCIA@INCOLUR.CL;CONSTRUCCIONES;1;CONSTRUCCIONES;METROPOLITANA;2;1;CONSTRUCCIONES;5;
87996400-8;INGENIERIA Y CONSTRUCCIONES MAS ERRAZURIZ;2224731000;CALLE UNO 3011;QUILICURA;SANTIAGO;LORETO.CRISTI@MASERRAZURIZ.CL;EMPRESAS CONSTRUCTORAS;1;EMPRESAS CONSTRUCTORAS;METROPOLITANA;2;1;EMPRESAS CONSTRUCTORAS;5;
